date,title,jurisdiction,proceeding_docket,filing_type,file_path
2023-12-20,CEC Demand Side Grid Support Program Enhancement Comments,California,,Comments,filings/2023-12-20_CEC-Demand-Side-Grid-Support-Program-Enhancement-Comments.pdf
2023-12-22,PG&E Request to Modify Eligibility Requirement for VGI Microgrids Pilot Advice Letter Response,California,Advice Letter 7083-E,Response,filings/2023-12-22_PG-E-Request-to-Modify-Eligibility-Requirement-for-VGI.pdf
2023-12-22,CA Demand Flexibility Track B Working Group Report Reply Comments,California,,Reply Comments,filings/2023-12-22_CA-Demand-Flexibility-Track-B-Working-Group-Report-Reply.pdf
2024-01-05,CA Dynamic Rate Pilot Expansion Proposed Decision Comments,California,,Comments,filings/2024-01-05_CA-Dynamic-Rate-Pilot-Expansion-Proposed-Decision-Comments.pdf
2024-01-12,CA Dynamic Rate Pilot Expansion Proposed Decision Reply Comments,California,,Reply Comments,filings/2024-01-12_CA-Dynamic-Rate-Pilot-Expansion-Proposed-Decision-Reply.pdf
2024-01-19,CA Transportation Electrification Policy and Infrastructure OIR Comments,California,,Comments,filings/2024-01-19_CA-Transportation-Electrification-Policy-and-Infrastructure.pdf
2024-01-25,CA PG&E V2G AC Pilot Lessons Learned and Recommendations Advice Letter Response,California,,Response,filings/2024-01-25_CA-PG-E-V2G-AC-Pilot-Lessons-Learned-and-Recommendations.pdf
2024-01-31,MA DOER Charging Forward Summary Report Comments,Massachusetts,,Comments,filings/2024-01-31_MA-DOER-Charging-Forward-Summary-Report-Comments.pdf
2024-02-02,CA Transportation Electrification Policy and Infrastructure OIR Reply Comments,California,,Reply Comments,filings/2024-02-02_CA-Transportation-Electrification-Policy-and-Infrastructure.pdf
2024-02-16,CA Transportation Electrification OIR Data Reporting Requirements Reply Comments,California,,Reply Comments,filings/2024-02-16_CA-Transportation-Electrification-OIR-Data-Reporting.pdf
2024-02-20,CA Energization Timelines OIR Comments,California,,Comments,filings/2024-02-20_CA-Energization-Timelines-OIR-Comments.pdf
2024-02-26,CA Transportation Electrification Policy and Infrastructure OIR Prehearing Conference Statement,California,R.23-12-008,Prehearing Statement,filings/2024-02-26_CA-Transportation-Electrification-Policy-and-Infrastructure.pdf
2024-02-27,NY Proactive Planning and V2X Comments,New York,E-0070,Comments,filings/2024-02-27_NY-Proactive-Planning-and-V2X-Comments.pdf
2024-03-01,CA Energization Timelines OIR Reply Comments,California,,Reply Comments,filings/2024-03-01_CA-Energization-Timelines-OIR-Reply-Comments.pdf
2024-03-15,CA Distributed Electricity Backup Assets Proposed GFO Comments,California,,Comments,filings/2024-03-15_CA-Distributed-Electricity-Backup-Assets-Proposed-GFO.pdf
2024-03-22,CA Demand Side Grid Support Program Proposed Guidelines Comments,California,,Comments,filings/2024-03-22_CA-Demand-Side-Grid-Support-Program-Proposed-Guidelines.pdf
2024-04-03,CA SDG&E Export Compensation Pilot Implementation Advice Letter Response,California,R.22-07-005,Response,filings/2024-04-03_CA-SDG-E-Export-Compensation-Pilot-Implementation-Advice.pdf
2024-04-05,MA DOER V2X Pilot Letter of Support,Massachusetts,,Letter,filings/2024-04-05_MA-DOER-V2X-Pilot-Letter-of-Support.pdf
2024-04-17,CA Zero-Emission School Bus and Infrastructure Funding Workshop Comments,California,,Comments,filings/2024-04-17_CA-Zero-Emission-School-Bus-and-Infrastructure-Funding.pdf
