date,title,jurisdiction,proceeding_docket,filing_type,file_path
2026-02-20,CO Home Backup Power Petition Comments,Colorado,,Petition,filings/2026-02-20_CO-Home-Backup-Power-Petition-Comments.pdf
2026-02-23,MD Virtual Power Plant Pilot Application Update Comments,Maryland,Case No. 9761,Comments,filings/2026-02-23_MD-Virtual-Power-Plant-Pilot-Application-Update-Comments.pdf
2026-02-27,TX Home Backup Power Petition Comments,Texas,,Petition,filings/2026-02-27_TX-Home-Backup-Power-Petition-Comments.pdf
2026-03-02,DC EV TOU and Managed Charging Program Joint Support Letter,District of Columbia,Case No. 1167,Letter,filings/2026-03-02_DC-EV-TOU-and-Managed-Charging-Program-Joint-Support-Letter.pdf
2026-03-03,CA SCE Residential Managed Charging Program and Bidirectional Charging Equipment Rebate Comments,California,Advice Letter 5536,Comments,filings/2026-03-03_CA-SCE-Residential-Managed-Charging-Program-and.pdf
2026-03-03,CA SCE Residential Bidirectional Charging Equipment Rebate Joint Comments,California,Advice Letter 5536,Comments,filings/2026-03-03_CA-SCE-Residential-Bidirectional-Charging-Equipment-Rebate.pdf
2026-03-09,CA SCE Residential Bidirectional Charging Equipment Rebate Reply Comments,California,Advice Letter 5536-E,Reply Comments,filings/2026-03-09_CA-SCE-Residential-Bidirectional-Charging-Equipment-Rebate.pdf
2026-04-01,MD VPP and V2G Pilot Consolidation into Broader Demand-Side Management Efforts Comments,Maryland,Case No. 9761,Comments,filings/2026-04-01_MD-VPP-and-V2G-Pilot-Consolidation-into-Broader-Demand-Side.pdf
2026-04-09,CA SCE Vehicle-to-Grid Export Rate Settlement Proposed Decision Comments,California,,Comments,filings/2026-04-09_CA-SCE-Vehicle-to-Grid-Export-Rate-Settlement-Proposed.pdf
2026-04-13,NM Rural Electric Cooperative Proposed Interconnection Rule Comments,New Mexico,Docket No. 25-00008-UT,Comments,filings/2026-04-13_NM-Rural-Electric-Cooperative-Proposed-Interconnection-Rule.pdf
2026-04-27,NM Rural Electric Cooperative Proposed Interconnection Rule Reply Comments,New Mexico,Docket No. 25-00008-UT,Reply Comments,filings/2026-04-27_NM-Rural-Electric-Cooperative-Proposed-Interconnection-Rule.pdf
2026-04-30,CA Rule 21 Proceeding Phase 1 Comments,California,,Comments,filings/2026-04-30_CA-Rule-21-Proceeding-Phase-1-Comments.pdf
2026-04-30,CA Demand Response and Emergency Load Reduction Program Bridge Funding Comments,California,,Response,filings/2026-04-30_CA-Demand-Response-and-Emergency-Load-Reduction-Program.pdf
2026-05-01,NY EVSE Interconnection Decision Tree Informal Comments,New York,,Informal Comments,filings/2026-05-01_NY-EVSE-Interconnection-Decision-Tree-Informal-Comments.pdf
2026-05-06,CT Interconnection Working Group Proposed V2X Guidance Annotated Redlines,Connecticut,,Comments,filings/2026-05-06_CT-Interconnection-Working-Group-Proposed-V2X-Guidance.pdf
2026-05-11,CA New Advanced Rate Design Proceeding Comments,California,,Comments,filings/2026-05-11_CA-New-Advanced-Rate-Design-Proceeding-Comments.pdf
2026-05-15,NJ Integrated Distributed Energy Resource Plans Request for Information Response,New Jersey,"Docket No.
QO24030199",Response,filings/2026-05-15_NJ-Integrated-Distributed-Energy-Resource-Plans-Request-for.pdf
2026-05-15,NV Interconnection Reform Reply Comments,Nevada,Docket No. 25-12031,Reply Comments,filings/2026-05-15_NV-Interconnection-Reform-Reply-Comments.pdf
2026-05-18,CT Bidirectional EV Working Group Technical Standards Informal Comments,Connecticut,,Informal Comments,filings/2026-05-18_CT-Bidirectional-EV-Working-Group-Technical-Standards.pdf
2026-05-21,CA Demand Response and Emergency Load Reduction Program Bridge Funding Reply Comments,California,,Reply Comments,filings/2026-05-21_CA-Demand-Response-and-Emergency-Load-Reduction-Program.pdf
2026-05-26,NY Grid of the Future Domain Capability Profile Informal Comments,New York,,Informal Comments,filings/2026-05-26_NY-Grid-of-the-Future-Domain-Capability-Profile-Informal.pdf
2026-05-29,CA Electrification Impact Studies Part 2 Comments,California,,Comments,filings/2026-05-29_CA-Electrification-Impact-Studies-Part-2-Comments.pdf
2026-05-29,CA Rule 21 Proceeding Phase 1 Reply Comments,California,,Reply Comments,filings/2026-05-29_CA-Rule-21-Proceeding-Phase-1-Reply-Comments.pdf
2026-06-26,CA Bidirectional Charging Roadmap Joint VGIC + Auto Innovators Comments,California,,Comments,filings/2026-06-26_CA-Bidirectional-Charging-Roadmap-Joint-VGIC-Auto.pdf
2026-06-29,CT Bidirectional EV Working Group Program Administrator Straw Proposal Informal Comments,Connecticut,Docket No. 25-08-05,Informal Comments,filings/2026-06-29_CT-Bidirectional-EV-Working-Group-Program-Administrator.pdf
2026-07-01,CA SCE Dynamic Rate Application Opening Brief,California,,Brief,filings/2026-07-01_CA-SCE-Dynamic-Rate-Application-Opening-Brief.pdf
2026-07-17,CA Drive Forward Battery Durability and Warranty Requirements Joint Comments,California,,Comments,filings/2026-07-17_CA-Drive-Forward-Battery-Durability-and-Warranty.pdf
2026-07-17,NY Joint Utilities Residential Managed Charging Report Comments,New York,E-0138,Comments,filings/2026-07-17_NY-Joint-Utilities-Residential-Managed-Charging-Report.pdf
2026-07-22,CA SCE Dynamic Rate Application Supplemental Opening Brief,California,,Brief,filings/2026-07-22_CA-SCE-Dynamic-Rate-Application-Supplemental-Opening-Brief.pdf
2026-07-29,NY Joint Utilities Residential Managed Charging Report Comments Errata,New York,E-0138,Comments,filings/2026-07-29_NY-Joint-Utilities-Residential-Managed-Charging-Report.pdf
